text,true_label,pred_label,rumor_probability,explanation
Lawyers for police in bad shootings often advise shooters not to write reports or even speak to commanders or investigators. #Ferguson,1,0,0.1152142584323883,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
I'm NOT believing this story because I know how the police lie and will keep lying and will organize together AND LIE. #MIKEBROWN #Ferguson,1,1,0.5695183873176575,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
Line of police cars with high beams on greets anyone trying to enter #Ferguson. It's shut down. No media allowed. http://t.co/bk6jFFM7jj,1,0,0.018550975248217583,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Boom RT @newsneighbor Why was #Ferguson PD still looking for the suspect 7 hours after Michael Brown had been killed? http://t.co/4TH5aFsge2,1,1,0.9554604291915894,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
#BREAKING One woman shot in drive-by shooting on 1300 Highmont near the QT. Cannot confirm if the victim survived. #ferguson #mikebrown,1,1,0.8021218776702881,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文使用了带有强烈突发暗示的词汇（如'BREAKING'），且缺乏正规媒体的证实，具备社交媒体谣言特征。
BREAKING NEWS: NAME OF OFFICER WHO SHOT #MIKEBROWN - OFFICER DAREN WILSON - #Ferguson,1,1,0.9393894672393799,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文使用了带有强烈突发暗示的词汇（如'BREAKING'），且缺乏正规媒体的证实，具备社交媒体谣言特征。
Police name the officer who shot #Ferguson teenager #MichaelBrown. Watch: http://t.co/O76WptH1nE  http://t.co/R6bxjsY9CZ,1,1,0.9344839453697205,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
White man aiming down on police...nothing happens. Unarmed black kid walking back from store shot 10 times. #Ferguson http://t.co/48EcUF2Bwa,1,0,0.2606409192085266,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Let's not forget that even if Mike Brown did shoplift, that's not why police said he was stopped or why he was shot. #mikebrown #ferguson",1,1,0.9265143275260925,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
Disgusting: MO chapter of Klan raising money as “reward” for the officer killing #MikeBrown. #Ferguson #UniteBlue http://t.co/xRCCazRSFs,1,1,0.6705964803695679,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
The selective release of information by #Ferguson PD tells us nothing about the shooting. Instead appears to be a basic smear job.,1,1,0.8294624090194702,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
Shoot unarmed kid. Conceal evidence. Impose martial law. Harass reporters. Smear the victim. Worst. Police. Ever. #Ferguson #MikeBrown,1,0,0.06110212206840515,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
People of #Ferguson: Stop #attacking our brave #heroes! -- http://t.co/DfxchWSDBM,0,0,0.009763606823980808,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
RT @freegcf: RT @organizemo: @OpFerguson PLS RT! Jail support info for ppl arrested at #mikebrown rallies. #ferguson http://t.co/GRJvO1dAlp,0,0,0.02136746048927307,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
#wakeup #MarshallLaw #Ferguson - America - how's that land of the free working out? http://t.co/uI9nWUXr8a,0,0,0.008772131986916065,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Something being talked about tonight is the makeup of the #Ferguson Police Dept. Here's a breakdown: #MichaelBrown http://t.co/gYd5qgJh5M,0,0,0.01477818563580513,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
#message RT @brennamuncy: Someone please remind me what year it is again? #ferguson http://t.co/vI4tDnvT1W,0,0,0.007607996929436922,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
This is the sassiest protest sign I have ever seen. I love our black queens! 😭 #Ferguson #MikeBrown http://t.co/C6zk8Fwb0Y,0,0,0.009694860316812992,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Fyi cigars in #Ferguson cost $38 million.,0,0,0.18632622063159943,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
This Cartoon Says It All: via @BennettCartoons via Chattanooga Times Free Press #Ferguson #UniteBlue #libcrib #KY http://t.co/A5XHpJPq75,0,0,0.022786177694797516,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
UNEASY NIGHT: St. Louis Post Dispatch's reporting on last night's clashes in #Ferguson http://t.co/wHNNo9yo3T http://t.co/OOuZIRkjpL,0,0,0.14014504849910736,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
How many #Ferguson officers are in the KKK? #jw,0,0,0.27015623450279236,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
The #Ferguson police are STILL on the tv LYING about wanting peace and there's military guns and amour trucks here in broad daylight,0,0,0.032984744757413864,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Protesters march peacefully alongside state troopers in #Ferguson: http://t.co/qqiQ0XKDRN (Scott Olson, Getty Images) http://t.co/D6DKEK0z5n",0,0,0.02020157501101494,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
: Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/dCFmzlkFRD”,0,0,0.02916828915476799,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
People are now matching to the #Ferguson Police Dept headquarters. http://t.co/4KEsby2ZPj,0,0,0.011281933635473251,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"You guess photo of war? Yes, you are right. This is a war between oppressor &amp; oppressed. #Ferguson #MikeBrown http://t.co/74TvAG92CR",0,0,0.010270033031702042,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
RT .@ryanjreilly: A massive SWAT team just showed up to peaceful demonstration in #ferguson https://t.co/VZh6Iu2MmL,0,0,0.00711210910230875,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Capt. Ron Johnson leads #Ferguson protestors through a peaceful night #RonJohnson #leader http://t.co/JpUnwUsN6f http://t.co/Vl504sVOaE,0,0,0.010294110514223576,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
I’m in #Ferguson and the witnesses are telling a chillin story. This young man was truly executed.,0,0,0.3543355166912079,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Exactly How Often Do Police Shoot Unarmed Black Men? http://t.co/6KXMOhu2EA #Ferguson http://t.co/1Cd6egf2LQ,0,0,0.02851605974137783,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Protestor on bull horn: ""Is this the Gaza Strip you bombin'"" #Ferguson http://t.co/rsPzBuPYb1",0,0,0.017919106408953667,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Police look on as protestors rally in #Ferguson http://t.co/LCzNUCNvKE,0,0,0.008253580890595913,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Video footage of my arrest, @AntonioFrench staffers, and Michael Powers Protest and arrests 8-13-14: http://t.co/RLaAUlKyyv #Ferguson",0,0,0.25657427310943604,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Prayers for #Ferguson.,0,0,0.014614200219511986,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Anonymous hacking group threatens the #Ferguson police in wake of the murder of Mike Brown --&gt; http://t.co/TqaA59wH9x http://t.co/p8VtikmeyD,0,0,0.02028633840382099,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Coming soon to everyone's town. MT @ryanjreilly: Overkill in #Ferguson. Officer won't answer...why this is needed. http://t.co/Uj7olrFBjB,0,0,0.06856169551610947,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"The mother of #MikeBrown, the 17-year-old killed by #Ferguson police today, says her son was about to start at Vatterott College next week.",0,1,0.5137450695037842,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
Next up on Fox News: Here's some footage of angry black people in #Ferguson with no discussion about why they're angry. Enjoy! #MikeBrown,0,0,0.031122658401727676,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Police aren't being taught to protect and serve anymore. They are being taught to shoot first, explain later. #ferguson",0,0,0.22042185068130493,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
The fact that while we've been focused on #Ferguson another black man was killed by cops in LA and it barely made the news says a lot.,0,0,0.10415209084749222,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Awful. RT @AntonioFrench #Ferguson Police have dogs and shotguns. The unarmed crowd is raising their hands. https://t.co/OFXxJLuDtj,0,0,0.008347281254827976,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Powerful, disturbing advice from the humans in #Gaza to the humans in #Ferguson on how to deal with military/police. http://t.co/4hxr1QEjLt",0,0,0.0093940244987607,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Exactly how often do police shoot unarmed black men? http://t.co/m5X6ICFtdv #Ferguson http://t.co/elWTCmN3ZN,0,0,0.030567429959774017,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"On some Tiananmen shit. RT @sebwalker: Military-style police: 3 APCs, ~100 officers, high-powered rifles #Ferguson http://t.co/JK0ZBrnEIO",0,0,0.011376640759408474,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Police still at one end of W. Florissant, protesters now at Greater St. Mark Church. #Ferguson p/v @JustinGlawe http://t.co/ujLgUmKLNS",0,0,0.10729511827230453,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"This is #Ferguson, a suburb in America. http://t.co/GfmHLo4u5q",0,0,0.011551793664693832,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Dear #Ferguson PD After our towns murders we didn't deploy SWAT Respectfully a Sandy Hook Dad and ex-cop. http://t.co/fpRWMowwAj,0,0,0.020380908623337746,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
What year are we in again? This is looking like the 50s #Ferguson http://t.co/TeLcT3d3yh,0,0,0.011056726798415184,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Just as the Founding Fathers intended. RT @BmoreConetta: Current situation in #ferguson http://t.co/QVNG2ZmlxV,0,0,0.007885497994720936,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"No matter what we do, it won't be as bad as killing a kid and leaving him to die on the street, covered with his own blood. #Ferguson",0,0,0.31312689185142517,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Image of #Ferguson protester throwing tear gas back at police, wearing the American flag, is amazing. http://t.co/JXi1sibnGG @AntonioFrench",0,0,0.021010255441069603,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Right now the United States has a stronger militarized force in #Ferguson, Missouri than it does in Baghdad.",0,0,0.013958295807242393,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
#Ferguson v #Bundy: Black jaywalking teen shot &amp; killed by cops. White trespassig rancher's militia aim guns at cops. http://t.co/MEGjYq2feR,0,0,0.056166309863328934,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
I asked Ron Johnson why #Ferguson cops aren't wearing name tags: http://t.co/ghiG5XM8Rd,0,0,0.047496773302555084,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Police in #Ferguson, Missouri, shot and killed a 17-year-old boy. http://t.co/TbVlOFxEus #FergusonShooting",0,1,0.8836994171142578,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
The live stream from #Ferguson is back up and running. Watch here while you can: http://t.co/7QTY8soT46,0,0,0.05886130407452583,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
They've brought the dogs out in #Ferguson https://t.co/gXQeLtaXjt,0,0,0.007750067859888077,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
#BREAKING: State Senator Maria Chapelle Nadal has been taken into police custody; she had been tear-gassed at an earlier protest. #Ferguson,0,0,0.305843323469162,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Your friendly local police department. Protect and Serve. #Ferguson http://t.co/LIUfLlnXXK,0,0,0.0060946037992835045,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
RT @FreeTopher: OFFICER DARREN WILSON STANDING OVER MIKE BROWN'S BODY AFTER SHOOTING HIM 9 TIMES #Ferguson http://t.co/7uAMFPdyPO,0,1,0.749370276927948,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
"Photo taken by @FroGoddess ""thanks for the advice #Palestine"" - #Ferguson #STL #MikeBrown http://t.co/UkfKu2Zzdl",0,0,0.012076844461262226,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"If Michael Brown had been carrying a gun, would Republicans still say he had a right to bear arms? Or is that only for white men? #ferguson",0,0,0.12265951931476593,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
All of yesterday's Vines in one YouTube video. #ferguson  http://t.co/Q2wUmBg5Cr,0,0,0.02500268630683422,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
If u r white &amp; u r not outraged about #Ferguson then the problem is much bigger than the police. #americaforall,0,0,0.015844188630580902,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
More from #Ferguson this morning http://t.co/82Ylq2SqzK,0,0,0.010224460624158382,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"One pattern of the last few days: After police move the media out of the area, they become more heavy-handed and violent. #Ferguson",0,0,0.07548845559358597,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Better Family life out here in the #FERGUSON community offering therapy for the residents of Canfield #MikeBrown http://t.co/SIiRImomBP,0,0,0.007284355815500021,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Police militarization on display in #Ferguson http://t.co/m9jyPq3ALq,0,0,0.008107860572636127,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"People who claim to be against big, intrusive government and for the Constitution are cheerleading for the cops in #Ferguson now. Telling.",0,0,0.011612818576395512,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Cops are forcing us to move even as legally we have the right to stand on the  sidewalk... #Ferguson,0,0,0.15569373965263367,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"No matter what COLOR you are...the murder by cop in #Ferguson is WRONG.  Let's stand together, do NOT let them divide us.",0,0,0.026528820395469666,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Peaceful youth demonstration at Greater St. Mark Church #ferguson http://t.co/feWLxdme9R,0,0,0.011368908919394016,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"#Ferguson #FergusonRiot #JailSupport helps those arrested in order to connect them to lawyers, relay messages... http://t.co/9NQJclwvah",0,0,0.018915046006441116,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"RT @PDPJ: #Ferguson picture from earlier in the day, high powered rifles trained on protesters http://t.co/qUkG9ztaQt",0,0,0.011782512068748474,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Our account from the ground in #Ferguson Protesting 4 #JusticeForMikeBrown? Know your rights https://t.co/bqWdKblUoM http://t.co/A60AYAS1GV,0,0,0.012873397208750248,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Military-style police in overwhelming show of force: 3 APCs, ~100 officers, high-powered rifles #Ferguson http://t.co/joc9ZnPuqM",0,0,0.01876351796090603,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"BREAKING: #Ferguson both lanes of W Florissant Ave blocked again, crowd chanting ""They say get back, we say fuck that"" tact teams driving up",0,1,0.6243104338645935,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文使用了带有强烈突发暗示的词汇（如'BREAKING'），且缺乏正规媒体的证实，具备社交媒体谣言特征。
St. Louis police chief condemns military tactics being used in #Ferguson http://t.co/6jmeZutuoe,0,0,0.028914831578731537,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Follow Amnesty delegation on the ground in #Ferguson to observe, collect testimony http://t.co/srQ7W2vAyx",0,0,0.012155150063335896,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Great Minds Think Alike But So Do DUMBASSES! Jesse Jackson: There's a '#Ferguson' near U http://t.co/PIlkbY2YB6 #tcot http://t.co/RRz31Fqc1m,0,0,0.008416255004703999,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Happening now in #Ferguson http://t.co/w8r9FTl4Kb,0,0,0.0075245629996061325,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Reminder that this is legal, but young unarmed black men are threatening and make us ""uncomfortable""  #Ferguson http://t.co/VbRyW7J9nR",0,0,0.01474116463214159,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
The shooting in #Ferguson highlights why the federal government should be underwriting body cams for all cops rather than military gear.,0,0,0.0258648544549942,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Jammers used again. Both livestreams went down again, looks like police is trying to hide something. #Ferguson",0,1,0.8641870021820068,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文叙述口吻带有较强的主观色彩，包含未经权威事实支撑的断言，符合谣言的文本特征。
"Anti-Gunners Donated $500k+ 2 Defeat Pro-Gun Sheriff, He Won Anyway! http://t.co/KdWIsaSDhT #tcot #2A #Ferguson #NRA http://t.co/9LQkU5JOlv",0,0,0.06090908870100975,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
#Ferguson heavily armed police in military gear arriving on armed personnel carriers now http://t.co/GbGdrhZBlM,0,0,0.010243505239486694,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Is that a bag of chips?! #REAL RT @GinoTheGhost: May be the dopest photo of the year #Ferguson http://t.co/ZxF3zhbjHb,0,0,0.00968465767800808,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Looking at #Ferguson and feeling anger, then helplessness, then more anger. They're not even pretending to acknowledge our humanity.",0,0,0.01536040659993887,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Tears streaming down my face as I watch little kids stepping and chanting ""justice for #MikeBrown"" with rifles trained on them. #Ferguson",0,0,0.020740043371915817,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
This would help tremendously. #mikebrown #Ferguson http://t.co/FNVnuZLWd1,0,0,0.00814239215105772,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
Those cops on line in #Ferguson don't have riot shields and batons. They have rifles. The only thing they can do with those is shoot people.,0,0,0.021158326417207718,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"#Ferguson is 60% black, but virtually all its cops are white. http://t.co/U7Yk4s4nyE http://t.co/gHlnoPH4dK",0,0,0.021566664800047874,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
"Wake up. Whenever a black man is killed by police, they try to make him a Saint/Martyr. 99% of the time he's a POS #Thug. #Ferguson",0,0,0.21008042991161346,【判定依据】：针对弗格森（Ferguson）枪击案的相关推文整体语调客观平实，属于对突发事件进展的常规动态跟进通报，判定为非谣言。
